"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"	"79"	"80"	"81"	"82"	"83"	"84"	"85"	"86"	"87"	"88"	"89"	"90"	"91"	"92"	"93"	"94"	"95"	"96"	"97"	"98"	"99"
"SCD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38232970838071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TMEM9"	0	0	6.05359251667614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.429803401960775
"SPR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TM4SF1"	0	0	0	5.64079818864562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MIF"	7.14881282440173	0	6.74079698889033	8.60929348417524	6.5732571148454	0	0	0	0	0	0	0	0	9.24985810368223	7.08403225889046	0	8.19949876934881	0	0	0	0	0	7.1429467933278	0	0	0	0	0	5.46492372163256	7.67491989513624	8.13326507391312	0	7.92926740510723	8.00967093379754	0	0	0	0	0	0	7.40256120151226	0	0	0	7.49994758951341	0	0	0	7.62947407107666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.07490821598815	6.91207640898749	0	0	7.4531203883301	0	0	0	0	0	0	8.39401914240608	0	0	0	0	0	0	0	0	0	0	0	7.29894207999203	7.46335802462125	7.53092963126423	6.91389061414291	0	0	0	1.4617118968661
"ARPC1A"	7.9806543993445	7.70162681732992	0	5.39157561815019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.44645078206548	0	0	0	0	0	0	0	0	0	0	0	7.07671364299886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15307083357066	0	0	0	0	0	0	6.77921926550141	0	0	0	0	0	7.13488667698238	0	0	0	0	0	0	5.11103006004875	0	0	0	0	0	0	0
"HIST1H1C"	0	0	0	4.16082743590974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HDGF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.80813376711044	4.28339510731025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.39719543745231	0	0	0	0	0	0	0	0	0	0	0	5.49354486619997	7.08587319787844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"POLD2"	6.35202470485691	0	7.52978003836206	6.61332036041496	0	0	0	0	7.32606305897284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.77521519322676	0	0	7.3484799539316	0	0	0	0	0	0	0	5.59240799975351	0	0	0	0	0	0	0	0	0	0	7.30372002587378	6.61622843801195	0	0	7.00064027924403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.13813292608998	0	0	0	0	0
"AHCY"	0	0	0	7.68398103572547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.87230673447232	0	0	0	0	0	0	0	6.47851838466281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
